                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.88129,                 1.5567,                 1.4254,                0.77426,                0.84349,                0.88999,                0.68577,                0.94865,                0.92099,                 1.3956,             9.2341e-05,             9.2341e-05,             9.2341e-05
                     75,                 0.8937,                 1.5343,                 1.4277,                0.81281,                0.80242,                0.88552,                0.69874,                0.87896,                0.89296,                 1.3324,             8.9044e-05,             8.9044e-05,             8.9044e-05
                     76,                0.87687,                 1.5491,                 1.4163,                  0.811,                0.84115,                0.89985,                0.68306,                0.97984,                0.90196,                 1.4098,             8.5748e-05,             8.5748e-05,             8.5748e-05
                     77,                0.87371,                 1.5178,                 1.4226,                0.77742,                0.83863,                0.89504,                0.69757,                0.95125,                0.84645,                 1.3824,             8.2451e-05,             8.2451e-05,             8.2451e-05
                     78,                0.86619,                 1.4981,                 1.4142,                0.81162,                0.82767,                0.88766,                0.70501,                0.84673,                0.85923,                 1.3122,             7.9154e-05,             7.9154e-05,             7.9154e-05
                     79,                0.86269,                  1.488,                 1.4162,                0.86903,                0.76878,                 0.9067,                0.70982,                0.88311,                0.84818,                 1.3398,             7.5857e-05,             7.5857e-05,             7.5857e-05
                     80,                0.88923,                 1.5069,                  1.425,                0.82599,                0.84881,                0.89413,                0.68114,                0.97359,                0.86271,                 1.4033,             7.2561e-05,             7.2561e-05,             7.2561e-05
                     81,                0.85473,                 1.4834,                  1.402,                0.83118,                 0.8357,                0.89504,                0.70633,                0.88602,                0.85254,                 1.3397,             6.9264e-05,             6.9264e-05,             6.9264e-05
                     82,                0.88051,                 1.4982,                 1.4269,                0.80355,                0.83936,                0.89594,                0.70818,                0.86104,                0.81229,                  1.325,             6.5967e-05,             6.5967e-05,             6.5967e-05
                     83,                0.87323,                 1.4756,                 1.4121,                 0.8325,                0.85025,                0.90092,                 0.7084,                0.87159,                0.84911,                 1.3223,             6.2671e-05,             6.2671e-05,             6.2671e-05
                     84,                0.83964,                 1.4544,                 1.4002,                0.85859,                0.84696,                0.89871,                0.69662,                0.92258,                0.82773,                 1.3636,             5.9374e-05,             5.9374e-05,             5.9374e-05
                     85,                 0.8468,                 1.4434,                 1.4029,                0.82989,                0.80746,                0.88818,                0.68905,                0.91811,                0.84484,                 1.3617,             5.6077e-05,             5.6077e-05,             5.6077e-05
                     86,                0.85453,                 1.4423,                 1.3971,                0.85565,                0.80763,                0.89981,                0.69393,                0.97905,                0.84568,                 1.4142,             5.2781e-05,             5.2781e-05,             5.2781e-05
                     87,                0.83718,                 1.4289,                 1.3869,                0.82585,                0.86186,                0.89457,                0.69143,                0.91413,                0.85899,                 1.3466,             4.9484e-05,             4.9484e-05,             4.9484e-05
                     88,                0.84315,                 1.3968,                 1.3861,                0.77656,                0.86832,                0.89289,                0.69996,                0.87633,                0.82452,                 1.3267,             4.6187e-05,             4.6187e-05,             4.6187e-05
                     89,                0.85531,                  1.415,                 1.3965,                 0.8421,                0.84574,                0.91455,                0.71077,                0.91044,                0.82713,                 1.3412,              4.289e-05,              4.289e-05,              4.289e-05
                     90,                 0.8436,                 1.4473,                 1.3939,                0.86245,                0.85528,                0.92104,                0.71419,                0.93173,                0.83525,                 1.3703,             3.9594e-05,             3.9594e-05,             3.9594e-05
                     91,                0.60478,                0.81586,                 1.2202,                0.85875,                0.85978,                0.91511,                 0.7365,                0.80587,                0.78766,                 1.2817,             3.6297e-05,             3.6297e-05,             3.6297e-05
                     92,                0.57285,                0.73006,                 1.1822,                0.88246,                0.84929,                0.92194,                0.72603,                0.87603,                0.77262,                 1.3297,                3.3e-05,                3.3e-05,                3.3e-05
                     93,                0.57893,                0.73306,                 1.1935,                0.89343,                0.85299,                0.91834,                0.71135,                0.92226,                0.78426,                 1.3584,             2.9704e-05,             2.9704e-05,             2.9704e-05
                     94,                0.56328,                0.70697,                 1.1733,                0.85375,                0.87425,                0.91954,                0.73189,                0.88302,                0.78616,                 1.3331,             2.6407e-05,             2.6407e-05,             2.6407e-05
                     95,                0.57501,                0.70082,                 1.1776,                0.89232,                0.85185,                0.91759,                 0.7133,                0.93216,                0.78713,                 1.3655,              2.311e-05,              2.311e-05,              2.311e-05
                     96,                0.56203,                0.67958,                 1.1742,                0.87729,                0.82239,                0.92522,                0.72303,                0.92365,                0.78549,                 1.3602,             1.9814e-05,             1.9814e-05,             1.9814e-05
                     97,                 0.5607,                 0.6866,                 1.1824,                0.85051,                0.83652,                0.92454,                0.72653,                0.89026,                0.78232,                 1.3397,             1.6517e-05,             1.6517e-05,             1.6517e-05
                     98,                0.54688,                0.66281,                 1.1523,                0.87025,                0.86138,                0.92334,                0.72592,                0.90982,                0.78403,                 1.3481,              1.322e-05,              1.322e-05,              1.322e-05
                     99,                0.54785,                0.65155,                 1.1527,                0.86703,                 0.8326,                0.92255,                  0.721,                0.90855,                0.78128,                 1.3509,             9.9234e-06,             9.9234e-06,             9.9234e-06
                    100,                0.55341,                 0.6549,                 1.1594,                0.83349,                0.88469,                0.92592,                 0.7238,                0.91082,                0.77379,                 1.3507,             6.6267e-06,             6.6267e-06,             6.6267e-06
